3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
3,9,9,9,8,7,7,7,9,9,1,9,9,7,9,9,9,9,7,3
3,9,9,9,8,5,7,7,9,9,1,9,9,5,9,9,9,9,7,3
3,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3,7,5,1,9,9,9,7,7,1,7,7,7,9,9,7,1,5,7,3
3,7,7,1,9,9,9,7,7,1,7,7,9,9,9,7,1,7,7,3
3,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3
3,4,4,1,7,7,7,7,6,6,6,7,7,7,7,7,1,7,5,3
3,4,4,1,7,7,7,7,6,7,6,7,7,9,9,7,1,7,7,3
3,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3,9,9,9,7,7,7,7,7,1,7,7,7,7,9,9,9,4,4,3
3,9,9,9,7,5,7,7,7,1,7,7,5,7,9,9,9,4,4,3
3,8,8,1,1,1,7,7,7,1,7,7,7,1,1,1,8,8,7,3
3,7,7,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,3
3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3
